Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,February,UREA,Assam,0.00,2599.10,,,
2014-2015,February,SSP,Assam,0.00,0.00,,,
2014-2015,February,DAP,Bihar,0.00,15772.40,,,
2014-2015,February,MAP,Bihar,0.00,0.00,,,
2014-2015,February,MOP,Bihar,0.00,27083.05,,,
2014-2015,February,NPK,Bihar,0.00,30283.90,,,
2014-2015,February,TSP,Bihar,0.00,7673.75,,,
2014-2015,February,UREA,Bihar,0.00,10419.24,,,
2014-2015,February,SSP,Bihar,0.00,0.00,,,
2014-2015,February,DAP,Chandigarh,0.00,0.00,,,
2014-2015,February,MAP,Chandigarh,0.00,0.00,,,
2014-2015,February,MOP,Chandigarh,0.00,0.00,,,
2014-2015,February,NPK,Chandigarh,0.00,0.00,,,
2014-2015,February,TSP,Chandigarh,0.00,0.00,,,
2014-2015,February,UREA,Chandigarh,0.00,0.00,,,
2014-2015,February,SSP,Chandigarh,0.00,0.00,,,
2014-2015,February,DAP,Chattishgarh,0.00,5452.80,,,
2014-2015,February,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,February,MOP,Chattishgarh,0.00,23447.30,,,
2014-2015,February,NPK,Chattishgarh,0.00,17117.89,,,
2014-2015,February,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,February,UREA,Chattishgarh,0.00,4218.55,,,
2014-2015,February,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,February,DAP,Dadra & Nagar Haveli,0.00,23.70,,,
2014-2015,February,MAP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,February,MOP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,February,NPK,Dadra & Nagar Haveli,0.00,18.95,,,
2014-2015,February,TSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,February,UREA,Dadra & Nagar Haveli,0.00,13.00,,,
2014-2015,February,SSP,Dadra & Nagar Haveli,0.00,0.00,,,
2014-2015,February,DAP,Daman & Diu,0.00,0.00,,,
2014-2015,February,MAP,Daman & Diu,0.00,0.00,,,
2014-2015,February,MOP,Daman & Diu,0.00,0.00,,,
2014-2015,February,NPK,Daman & Diu,0.00,0.00,,,
2014-2015,February,TSP,Daman & Diu,0.00,0.00,,,
2014-2015,February,UREA,Daman & Diu,0.00,0.00,,,
2014-2015,February,SSP,Daman & Diu,0.00,0.00,,,
2014-2015,February,DAP,Delhi,0.00,0.00,,,
2014-2015,February,MAP,Delhi,0.00,0.00,,,
2014-2015,February,MOP,Delhi,0.00,0.00,,,
2014-2015,February,NPK,Delhi,0.00,0.00,,,
2014-2015,February,TSP,Delhi,0.00,0.00,,,
2014-2015,February,UREA,Delhi,500.00,0.00,,,
2014-2015,February,SSP,Delhi,0.00,0.00,,,
2014-2015,February,DAP,Goa,0.00,29.05,,,
2014-2015,February,MAP,Goa,0.00,0.00,,,
2014-2015,February,MOP,Goa,0.00,40.00,,,
2014-2015,February,NPK,Goa,0.00,87.70,,,
2014-2015,February,TSP,Goa,0.00,0.00,,,
2014-2015,February,UREA,Goa,0.00,3.45,,,
2014-2015,February,SSP,Goa,0.00,0.00,,,
2014-2015,February,DAP,Gujarat,0.00,26763.68,,,
2014-2015,February,MAP,Gujarat,0.00,0.00,,,
2014-2015,February,MOP,Gujarat,0.00,5083.50,,,
2014-2015,February,NPK,Gujarat,0.00,54125.34,,,
2014-2015,February,TSP,Gujarat,0.00,6313.85,,,
2014-2015,February,UREA,Gujarat,0.00,3649.59,,,
2014-2015,February,SSP,Gujarat,0.00,0.00,,,
2014-2015,February,DAP,Harayana,0.00,7430.15,,,
2014-2015,February,MAP,Harayana,0.00,0.00,,,
2014-2015,February,MOP,Harayana,0.00,8232.45,,,
2014-2015,February,NPK,Harayana,0.00,7835.70,,,
2014-2015,February,TSP,Harayana,0.00,0.00,,,
2014-2015,February,UREA,Harayana,0.00,1338.05,,,
2014-2015,February,SSP,Harayana,0.00,0.00,,,
2014-2015,February,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,February,MAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,February,MOP,Himachal Pradesh,0.00,0.00,,,
2014-2015,February,NPK,Himachal Pradesh,0.00,151.85,,,
2014-2015,February,TSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,February,UREA,Himachal Pradesh,0.00,110.15,,,
2014-2015,February,DAP,Jammu & Kashmir,0.00,0.00,,,
2014-2015,February,SSP,Jammu & Kashmir,0.00,1233.65,,,
2014-2015,February,MAP,Jammu & Kashmir,0.00,0.00,,,
