Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,September,MOP,Daman and Diu,0.00,0.00,,,
2014-2015,September,NPK,Daman and Diu,0.00,0.00,,,
2014-2015,September,TSP,Daman and Diu,0.00,0.00,,,
2014-2015,September,UREA,Daman and Diu,0.00,0.00,,,
2014-2015,September,SSP,Daman and Diu,0.00,0.00,,,
2014-2015,September,DAP,Delhi,0.00,0.00,,,
2014-2015,September,MAP,Delhi,0.00,0.00,,,
2014-2015,September,MOP,Delhi,0.00,0.00,,,
2014-2015,September,NPK,Delhi,0.00,0.00,,,
2014-2015,September,TSP,Delhi,0.00,0.00,,,
2014-2015,September,UREA,Delhi,0.00,0.00,,,
2014-2015,September,SSP,Delhi,0.00,0.00,,,
2014-2015,September,DAP,Goa,0.00,58.00,,,
2014-2015,September,MAP,Goa,0.00,0.00,,,
2014-2015,September,MOP,Goa,0.00,50.00,,,
2014-2015,September,NPK,Goa,0.00,9.95,,,
2014-2015,September,TSP,Goa,0.00,0.00,,,
2014-2015,September,UREA,Goa,0.00,9.95,,,
2014-2015,September,SSP,Goa,0.00,0.00,,,
2014-2015,September,DAP,Gujarat,0.00,27055.58,,,
2014-2015,September,MAP,Gujarat,0.00,0.00,,,
2014-2015,September,MOP,Gujarat,0.00,2379.10,,,
2014-2015,September,NPK,Gujarat,0.00,12570.18,,,
2014-2015,September,TSP,Gujarat,0.00,6313.85,,,
2014-2015,September,UREA,Gujarat,0.00,5256.11,,,
2014-2015,September,SSP,Gujarat,0.00,0.00,,,
2014-2015,September,DAP,Harayana,0.00,28886.00,,,
2014-2015,September,MAP,Harayana,0.00,0.00,,,
2014-2015,September,MOP,Harayana,0.00,7680.45,,,
2014-2015,September,NPK,Harayana,0.00,2492.95,,,
2014-2015,September,TSP,Harayana,0.00,0.00,,,
2014-2015,September,UREA,Harayana,0.00,2475.25,,,
2014-2015,September,SSP,Harayana,0.00,0.00,,,
2014-2015,September,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,September,MAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,September,MOP,Himachal Pradesh,0.00,0.00,,,
2014-2015,September,NPK,Himachal Pradesh,0.00,47.65,,,
2014-2015,September,TSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,September,UREA,Himachal Pradesh,0.00,86.10,,,
2014-2015,September,DAP,Jammu and Kashmir,0.00,5003.90,,,
2014-2015,September,MAP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,September,MOP,Jammu and Kashmir,0.00,558.35,,,
2014-2015,September,NPK,Jammu and Kashmir,0.00,0.00,,,
2014-2015,September,TSP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,September,UREA,Jammu and Kashmir,0.00,641.95,,,
2014-2015,September,SSP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,September,DAP,Jharkhand,4500.00,3988.40,,,
2014-2015,September,MAP,Jharkhand,0.00,0.00,,,
2014-2015,September,MOP,Jharkhand,2500.00,4.60,,,
2014-2015,September,NPK,Jharkhand,5000.00,1241.80,,,
2014-2015,September,TSP,Jharkhand,0.00,0.00,,,
2014-2015,September,UREA,Jharkhand,10000.00,254.00,,,
2014-2015,September,SSP,Jharkhand,0.00,0.00,,,
2014-2015,September,DAP,Karnataka,47000.00,26896.75,,,
2014-2015,September,MAP,Karnataka,0.00,0.00,,,
2014-2015,September,MOP,Karnataka,44000.00,39429.17,,,
2014-2015,September,NPK,Karnataka,115000.00,65927.97,,,
2014-2015,September,TSP,Karnataka,0.00,11905.40,,,
2014-2015,September,UREA,Karnataka,175000.00,11798.58,,,
2014-2015,September,SSP,Karnataka,0.00,0.00,,,
2014-2015,September,DAP,Kerala,0.00,308.95,,,
2014-2015,September,MAP,Kerala,0.00,0.00,,,
2014-2015,September,MOP,Kerala,0.00,5635.57,,,
2014-2015,September,NPK,Kerala,0.00,18096.45,,,
2014-2015,September,TSP,Kerala,0.00,3156.75,,,
2014-2015,September,UREA,Kerala,0.00,406.30,,,
2014-2015,September,SSP,Kerala,0.00,0.00,,,
2014-2015,September,DAP,Lakshadweep,0.00,0.00,,,
2014-2015,September,MAP,Lakshadweep,0.00,0.00,,,
2014-2015,September,MOP,Lakshadweep,0.00,0.00,,,
2014-2015,September,NPK,Lakshadweep,0.00,0.00,,,
2014-2015,September,TSP,Lakshadweep,0.00,0.00,,,
2014-2015,September,UREA,Lakshadweep,0.00,0.00,,,
2014-2015,September,SSP,Lakshadweep,0.00,0.00,,,
2014-2015,September,DAP,Madhya Pradesh,0.00,37399.82,,,
2014-2015,September,MAP,Madhya Pradesh,0.00,0.00,,,
2014-2015,September,MOP,Madhya Pradesh,0.00,22599.45,,,
2014-2015,September,NPK,Madhya Pradesh,0.00,9605.90,,,
2014-2015,September,TSP,Madhya Pradesh,0.00,8443.85,,,
2014-2015,September,UREA,Madhya Pradesh,0.00,14487.30,,,
2014-2015,September,SSP,Madhya Pradesh,0.00,0.00,,,
2014-2015,September,DAP,Maharastra,0.00,31447.02,,,
2014-2015,September,MAP,Maharastra,0.00,0.00,,,
2014-2015,September,MOP,Maharastra,0.00,73471.62,,,
2014-2015,September,NPK,Maharastra,0.00,62933.94,,,
2014-2015,September,TSP,Maharastra,0.00,0.00,,,
2014-2015,September,UREA,Maharastra,0.00,12539.67,,,
2014-2015,September,SSP,Maharastra,0.00,0.00,,,
2014-2015,September,DAP,Manipur,0.00,0.00,,,
2014-2015,September,MAP,Manipur,0.00,0.00,,,
2014-2015,September,MOP,Manipur,0.00,0.00,,,
2014-2015,September,NPK,Manipur,0.00,0.00,,,
2014-2015,September,TSP,Manipur,0.00,0.00,,,
2014-2015,September,UREA,Manipur,0.00,0.00,,,
2014-2015,September,SSP,Manipur,0.00,0.00,,,
2014-2015,September,DAP,Megalaya,0.00,150.00,,,
2014-2015,September,MAP,Megalaya,0.00,0.00,,,
2014-2015,September,MOP,Megalaya,0.00,0.00,,,
2014-2015,September,NPK,Megalaya,0.00,100.00,,,
2014-2015,September,TSP,Megalaya,0.00,0.00,,,
2014-2015,September,UREA,Megalaya,0.00,0.00,,,
2014-2015,September,SSP,Megalaya,0.00,0.00,,,
2014-2015,September,DAP,Mizoram,0.00,0.00,,,
2014-2015,September,MAP,Mizoram,0.00,0.00,,,
2014-2015,September,MOP,Mizoram,0.00,0.00,,,
2014-2015,September,NPK,Mizoram,0.00,0.00,,,
2014-2015,September,TSP,Mizoram,0.00,0.00,,,
2014-2015,September,UREA,Mizoram,0.00,0.00,,,
2014-2015,September,DAP,Nagaland,0.00,0.00,,,
2014-2015,September,MAP,Nagaland,0.00,0.00,,,
2014-2015,September,MOP,Nagaland,0.00,0.00,,,
2014-2015,September,NPK,Nagaland,0.00,0.00,,,
2014-2015,September,TSP,Nagaland,0.00,0.00,,,
2014-2015,September,UREA,Nagaland,0.00,0.00,,,
2014-2015,September,DAP,Orissa,0.00,12516.00,,,
2014-2015,September,MAP,Orissa,0.00,0.00,,,
2014-2015,September,MOP,Orissa,0.00,7449.55,,,
2014-2015,September,NPK,Orissa,0.00,16532.20,,,
2014-2015,September,TSP,Orissa,0.00,0.00,,,
